Percent,Cycles,IPC,HitRatio,BankStalls,Status
Baseline,49155650,2.440395,46,0,Success
0,55745069,2.151925,0,0,Success
20,52910560,2.267208,45,0,Success
40,50043726,2.397088,47,0,Success
60,46722302,2.567494,47,0,Success
80,42169316,2.844704,47,0,Success
100,38685644,3.100872,46,0,Success
