Percent,Cycles,IPC,HitRatio,BankStalls,Status
Baseline,49019550,2.446893,45,0,Success
0,56219245,2.133533,0,0,Success
20,52687932,2.276529,49,0,Success
40,50044266,2.396790,45,0,Success
60,46275222,2.592005,46,0,Success
80,41440435,2.894410,47,0,Success
100,37734182,3.178699,46,0,Success
