Percent,Cycles,IPC,HitRatio,BankStalls,Status
Baseline,25925975,4.626987,43,0,Success
0,29184055,4.110435,0,0,Success
20,27568164,4.351366,48,0,Success
40,26467703,4.532284,45,0,Success
60,24836111,4.830030,44,0,Success
80,22369207,5.362692,44,0,Success
100,19527111,6.143211,48,0,Success
