Percent,Cycles,IPC,HitRatio,BankStalls,Status
Baseline,25390514,4.725635,47,0,Success
0,29457276,4.073231,0,0,Success
20,27829208,4.311524,41,0,Success
40,26143548,4.589519,48,0,Success
60,24297530,4.938210,48,0,Success
80,22060940,5.438857,48,0,Success
100,20425169,5.874434,45,0,Success
