Percent,Cycles,IPC,HitRatio,BankStalls,Status
Baseline,593959,0.648607,84,0,Success
0,640699,0.601300,0,0,Success
10,619178,0.622206,84,0,Success
20,608090,0.633551,83,0,Success
30,603711,0.638146,84,0,Success
40,602823,0.639086,84,0,Success
50,594169,0.648395,84,0,Success
60,510195,0.755113,84,0,Success
70,422431,0.911997,83,0,Success
80,332802,1.157613,84,0,Success
90,258972,1.487636,83,0,Success
100,215785,1.785370,83,0,Success
