Percent,Cycles,IPC,HitRatio,BankStalls,Status
Baseline,2430603,0.619896,29,0,Success
0,2571366,0.585962,0,0,Success
10,2565511,0.587301,28,0,Success
20,2505136,0.601456,29,0,Success
30,2468284,0.610435,29,0,Success
40,2447561,0.615604,29,0,Success
50,2429628,0.620148,29,0,Success
60,2329708,0.646745,30,0,Success
70,2226130,0.676837,31,0,Success
80,2126683,0.708487,30,0,Success
90,1979430,0.761193,34,0,Success
100,1920297,0.784633,33,0,Success
