Percent,Cycles,IPC,HitRatio,BankStalls,Status
Baseline,124674124,2.272141,94,0,Success
80,83256295,3.402472,93,0,Success
82,82111406,3.449913,94,0,Success
84,80593784,3.514877,94,0,Success
86,79175710,3.577830,95,0,Success
88,78759403,3.596742,94,0,Success
90,76496495,3.703140,94,0,Success
92,75885464,3.732958,94,0,Success
94,75498325,3.752100,94,0,Success
96,75429941,3.755501,94,0,Success
98,74495411,3.802613,95,0,Success
100,N/A,N/A,N/A,N/A,Failed
